ID_sequencing,Spatial,Elevation,MAT,TSEA,MAP,PSEA,Plant_cover,Forest,Grassland,Clay_silt,pH,Soil_C,All_potential_pathogens,Alternaria,Fusarium,Venturia,Phoma,Phaeosphaeriaceae,Cladosporium,Coniochaetaceae,Acremonium,Knufia,Chalara,Mycosphaerellaceae,Didymosphaeriaceae,Teratosphaeriaceae,Coniochaeta,Devriesia,Didymellaceae,Pleosporaceae,Clonostachys,Didymosphaeria,Acrophialophora,Xylariaceae,Bipolaris
192.000,42.200,629.000,1.700,14452.000,194.000,105.000,930.569,0.000,1.000,25.000,7.124,1.174,21.864,5.638,5.634,0.000,0.136,2.259,0.056,0.821,0.000,1.262,0.000,0.002,0.563,0.045,0.145,0.007,0.382,1.203,0.101,0.396,0.000,0.000,0.314
193.000,35.492,2139.000,7.600,8813.000,295.000,77.000,1044.610,0.000,0.000,77.301,7.427,2.691,17.988,9.439,3.808,0.007,0.000,1.302,0.027,0.273,0.201,0.000,0.022,0.043,0.013,0.035,0.000,0.000,0.003,0.035,0.022,0.000,0.000,0.000,0.000
194.000,35.735,1518.000,11.500,9128.000,239.000,72.000,444.566,0.000,0.000,74.833,7.752,1.432,15.268,2.275,0.987,0.000,0.243,0.909,0.606,0.000,1.621,0.682,0.363,0.000,0.088,0.000,0.000,0.000,0.000,0.358,2.716,0.000,0.000,0.002,0.000
195.000,35.720,1477.000,10.600,9254.000,303.000,72.000,711.571,0.000,0.000,50.327,7.756,0.918,24.830,5.593,1.715,0.000,0.256,4.683,0.056,0.060,1.135,0.091,0.168,0.000,0.206,0.028,0.000,0.002,0.000,0.084,0.502,0.000,0.000,1.070,0.000
196.000,34.799,350.000,19.100,4997.000,288.000,104.000,1529.720,0.000,0.000,51.164,8.024,1.795,7.044,2.182,0.359,0.000,0.955,0.108,0.199,0.000,0.094,0.624,0.000,0.096,0.472,0.000,0.000,0.000,0.016,0.078,0.000,0.000,0.000,0.016,0.000
197.000,34.751,1242.000,20.700,3208.000,475.000,85.000,1400.800,0.000,0.000,58.036,8.008,3.316,4.797,0.637,0.705,0.271,0.093,0.003,0.310,0.000,0.000,0.474,0.000,0.067,0.000,0.054,0.000,0.050,0.000,0.000,0.000,0.142,0.000,0.063,0.000
198.000,34.716,1960.000,17.100,3161.000,359.000,55.000,808.336,0.000,0.000,51.875,8.312,2.027,6.352,1.887,0.609,0.000,0.991,0.276,0.295,0.000,0.031,0.228,0.226,0.202,0.043,0.048,0.000,0.000,0.009,0.031,0.021,0.000,0.079,0.000,0.027
199.000,34.736,2000.000,17.500,2770.000,553.000,71.000,2951.740,0.000,0.000,55.592,8.430,2.142,6.724,1.861,1.209,0.000,0.058,0.080,0.334,0.000,0.054,0.000,0.038,0.038,0.078,0.060,0.000,0.056,0.072,0.439,0.024,0.000,0.302,0.050,0.000
200.000,34.737,1023.000,22.000,3572.000,571.000,76.000,1051.050,0.000,0.000,72.949,8.412,2.296,34.724,17.638,1.468,0.000,0.449,0.087,0.541,0.000,0.047,0.077,0.000,7.448,0.451,0.012,0.012,0.000,0.010,0.709,0.007,0.600,0.050,0.000,0.000
201.000,34.719,2202.000,16.500,2944.000,371.000,58.000,1196.700,0.000,1.000,43.142,8.150,2.464,12.047,1.251,1.149,0.000,0.752,0.443,3.203,0.038,0.033,0.064,0.021,0.003,0.386,0.016,0.064,0.535,0.261,0.217,0.217,0.000,0.000,0.075,0.000
